TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
Coinbase	coinbose.com	HIGH_MATCH	9	coinbase.com	www.coinbase.com	52.20.84.62	https	403	domains.atom.com	1.00	1.00	Unknown	cloudflare	redirects to domains.atom.com; content hash matches baseline
Google	xn--gogl-jpa1d.com	MEDIUM_MATCH	3	google.com	www.google.com	98.84.224.111,18.208.88.157	https	200	xn--gogl-jpa1d.com	1.00	0.13	Unknown	Netlify	
Google	xn--gool-dxa1756b.com	MEDIUM_MATCH	3	google.com	www.google.com	216.198.79.1	https	200	xn--gool-dxa1756b.com	1.00	0.11	Unknown	Vercel	
Google	xn--gogle-1ta.com	MEDIUM_MATCH	3	google.com	www.google.com	192.241.130.219	https	200	xn--gogle-1ta.com	1.00	0.08	Unknown	Apache/2.4.18 (Ubuntu)	
Google	xn--ooge-21a88g.com	MEDIUM_MATCH	3	google.com	www.google.com	192.241.130.219	https	200	xn--ooge-21a88g.com	1.00	0.08	Unknown	Apache/2.4.18 (Ubuntu)	
Google	xn--ooge-9wa5r.com	MEDIUM_MATCH	3	google.com	www.google.com	104.21.53.118,172.67.212.161,2606:4700:3032::6815:3576,2606:4700:3037::ac43:d4a1	https	200	xn--ooge-9wa5r.com	1.00	0.06	Unknown	cloudflare	
Google	xn--googl-9cc.com	MEDIUM_MATCH	3	google.com	www.google.com	3.33.193.101,15.197.246.237,52.223.46.195,99.83.183.127	https	200	xn--googl-9cc.com	1.00	0.05	Unknown	Heroku	
Google	xn--googl-lsa.com	MEDIUM_MATCH	3	google.com	www.google.com	38.92.48.160	https	200	xn--googl-lsa.com	1.00	0.05	Unknown	Apache	
Google	xn--gogle-g91b.com	MEDIUM_MATCH	3	google.com	www.google.com	76.223.105.230,13.248.243.5	https	200	xn--gogle-g91b.com	1.00	0.04	Unknown	DPS/2.0.0+sha-9ac0622	
Microsoft	outloolk.com	LOW_MATCH	2	outlook.com	outlook.live.com	103.224.182.251	https	200	ww38.outloolk.com	0.63	0.63	Unknown	Caddy	redirects to ww38.outloolk.com
Zendesk	zendcsk.com	LOW_MATCH	2	zendesk.com	www.zendesk.com	212.104.128.0,212.104.128.1,212.104.128.2,212.104.128.3	https	404	zendcsk.com	0.00	0.25	Unknown	cloudflare	page title unavailable
Shopify	yshopify.com	LOW_MATCH	2	shopify.com	www.shopify.com	136.243.255.76	https	404	myshopify.com	0.17	0.17	Unknown	cloudflare	redirects to myshopify.com
Apple	ikloud.com	LOW_MATCH	2	icloud.com	www.icloud.com	107.170.54.9	https	200	ikloud.com	0.83	0.12	Unknown	nginx	
Shopify	shopiry.com	LOW_MATCH	2	shopify.com	www.shopify.com	54.215.31.113	https	200	forsale.dynadot.com	0.17	0.10	Unknown	cloudflare	redirects to forsale.dynadot.com
Apple	iclpoud.com	LOW_MATCH	2	icloud.com	www.icloud.com	45.82.67.96	https	200	findakey.net	0.83	0.08	Unknown	cloudflare	redirects to findakey.net
Shopify	shopify9.com	LOW_MATCH	2	shopify.com	www.shopify.com	104.21.79.121,172.67.145.144,2606:4700:3037::6815:4f79,2606:4700:3035::ac43:9190	https	200	shopify9.com	0.18	0.08	Unknown	cloudflare	
